순위,영화명,개봉일,매출액,관객수,스크린수
95,헌트,2022-08-10,"44,599,779,653","4,352,438","1,625"
96,강철중: 공공의 적 1-1,2008-06-19,"28,465,757,767","4,300,670",659
97,아가씨,2016-06-01,"35,211,229,991","4,287,839","1,171"
98,용의자,2013-12-24,"30,037,161,000","4,131,248",807
99,건축학개론,2012-03-22,"30,219,800,500","4,110,645",593
100,태풍,2005-12-14,0,"4,094,395", 115
101,7급 공무원,2009-04-22,"26,701,311,856","4,088,799",475
102,색즉시공,2002-12-11,0,"4,082,797", 41
103,댄싱퀸,2012-01-18,"30,129,259,500","4,057,546",534
104,우리 생애 최고의 순간,2008-01-10,"26,151,780,425","4,044,582",418
105,꾼,2017-11-22,"31,313,568,795","4,018,341","1,314"
106,타짜-신의 손,2014-09-03,"32,373,120,927","4,015,361",890
107,공공의 적 2,2005-01-27,0,"3,911,356", 95
108,박수건달,2013-01-09,"28,379,548,569","3,897,969",599
109,한반도,2006-07-13,0,"3,880,308", 126
110,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428","3,872,015",811
111,역린,2014-04-30,"29,893,297,890","3,849,433","1,054"
112,남한산성,2017-10-03,"31,225,083,792","3,849,087","1,229"
113,반도,2020-07-15,"33,072,531,280","3,812,250","2,575"
114,암수살인,2018-10-03,"32,995,138,548","3,789,321","1,177"
115,쌍화점,2008-12-30,"25,616,489,949","3,779,553",499
116,국가부도의 날,2018-11-28,"30,891,765,837","3,754,983","1,180"
117,신기전,2008-09-04,"24,314,570,667","3,726,134",585
118,82년생 김지영,2019-10-23,"30,305,744,310","3,679,019","1,486"
119,친절한 금자씨,2005-07-29,0,"3,650,000", 127
120,모가디슈,2021-07-28,"34,558,297,730","3,613,984","1,688"
121,귀향,2016-02-24,"27,248,705,990","3,586,929",876
122,신의 한 수,2014-07-03,"28,810,921,456","3,566,336",794
123,스캔들-조선남녀상열지사,2003-10-02,,"3,522,747", 76
124,가문의 부활 - 가문의 영광3,2006-09-21,0,"3,464,516", 114
125,부러진 화살,2012-01-18,"25,936,754,000","3,459,780",453
126,끝까지 간다,2014-05-29,"27,007,303,900","3,450,305",645
127,스파이,2013-09-05,"24,509,269,305","3,435,801",785
128,그것만이 내 세상,2018-01-17,"27,444,525,382","3,418,043",862
129,이끼,2010-07-14,"25,856,306,126","3,408,144",736
130,돈,2019-03-20,"28,869,614,062","3,389,035","1,431"
131,포화속으로,2010-06-16,"24,217,600,897","3,385,706",736
132,악인전,2019-05-15,"29,130,540,150","3,364,360","1,307"
133,시동,2019-12-18,"28,098,934,360","3,317,038","1,515"
134,아이 캔 스피크,2017-09-21,"25,532,214,986","3,280,243","1,140"
135,올드보이,2003-11-21,0,"3,269,000", 45
136,마녀,2018-06-27,"27,242,029,463","3,189,091","1,117"
137,탐정: 리턴즈,2018-06-13,"26,909,459,678","3,152,872","1,041"
138,어린 신부,2004-04-02,0,"3,149,500", 50
139,오! 브라더스,2003-09-04,0,"3,148,748", 51
140,"장화, 홍련",2003-06-13,0,"3,146,217", 52
141,그놈 목소리,2007-02-01,0,"3,143,247", 110
142,우리들의 행복한 시간,2006-09-14,0,"3,132,320", 118
143,퀵,2011-07-20,"22,960,890,000","3,125,069",512
144,감기,2013-08-14,"21,784,202,000","3,119,023",806
145,말죽거리 잔혹사,2004-01-16,0,"3,115,767", 67
146,광복절 특사,2002-11-20,0,"3,101,900", 71
147,마파도,2005-03-10,0,"3,090,467", 58
148,하모니,2010-01-28,"21,992,266,198","3,068,544",405
149,거북이 달린다,2009-06-11,"20,857,347,292","3,059,812",379
150,너는 내 운명,2005-09-23,0,"3,051,134", 92
151,스물,2015-03-25,"23,558,988,686","3,044,134",926
152,식객,2007-11-01,0,"3,038,868", 88
153,방자전,2010-06-02,"22,853,629,794","3,035,116",512
154,마더,2009-05-28,"20,195,373,838","3,013,523",648
155,오싹한 연애,2011-12-01,"22,010,977,000","3,009,356",469
156,형,2016-11-23,"23,129,111,893","2,982,022",993
157,친구 2,2013-11-14,"21,804,687,513","2,971,475",968
158,26년,2012-11-29,"21,241,327,145","2,963,449",604
159,워낭소리,2009-01-15,"19,259,975,032","2,962,897",20
160,고지전,2011-07-20,"21,968,557,600","2,945,137",585
161,프리즌,2017-03-23,"23,790,276,987","2,931,897","1,047"
162,가장 보통의 연애,2019-10-02,"24,885,803,430","2,924,563","1,073"
163,헬로우 고스트,2010-12-22,"21,154,651,779","2,897,477",472
164,귀신이 산다,2004-09-17,0,"2,890,000", 70
165,말모이,2019-01-09,"23,987,145,520","2,866,020","1,203"
166,극비수사,2015-06-18,"22,389,535,897","2,860,786",894
167,표적,2014-04-30,"22,256,359,300","2,841,788",665
168,너의 결혼식,2018-08-22,"23,676,244,369","2,820,969",962
169,마녀(魔女) Part2. The Other One,2022-06-15,"28,922,800,670","2,806,524","1,796"
170,황산벌,2003-10-17,,"2,771,236", 71
171,부당거래,2010-10-28,"21,326,977,937","2,766,436",502
172,1번가의 기적,2007-02-14,0,"2,750,457", 80
173,시라노; 연애조작단,2010-09-16,"20,171,151,599","2,731,828",402
174,내가 살인범이다,2012-11-08,"20,392,346,000","2,729,808",547
175,소원,2013-10-02,"18,529,792,100","2,711,071",641
176,친구,2001-03-31,0," 2,678,846",0
177,곤지암,2018-03-28,"21,442,114,144","2,675,559","1,124"
178,살인자의 기억법,2017-09-06,"21,375,287,492","2,658,589","1,064"
179,후궁 : 제왕의 첩,2012-06-06,"19,330,302,500","2,636,320",624
180,탐정 : 더 비기닝,2015-09-24,"20,463,956,973","2,625,686",764
181,지금 만나러 갑니다,2018-03-14,"20,800,916,128","2,602,273","1,163"
182,위험한 상견례,2011-03-31,"19,174,920,500","2,595,625",524
183,아수라,2016-09-28,"20,576,226,662","2,594,028","1,278"
184,보안관,2017-05-03,"20,844,405,409","2,588,617","1,091"
185,굿모닝 프레지던트,2009-10-22,"18,770,889,320","2,583,294",586
186,음란서생,2006-02-23,0,"2,576,022", 84
187,내 머리 속의 지우개,2004-11-05,0,"2,565,078", 68
188,기술자들,2014-12-24,"19,894,297,783","2,564,340",641
189,증인,2019-02-13,"20,477,262,331","2,534,075","1,047"
190,내 생애 가장 아름다운 일주일,2005-10-07,0,"2,533,103", 105
191,목격자,2018-08-15,"21,733,771,597","2,524,333","1,021"
192,조작된 도시,2017-02-09,"20,138,295,587","2,514,943","1,019"
193,공동경비구역 JSA,2000-09-08,0," 2,513,540",0
194,블랙머니,2019-11-13,"20,866,634,010","2,479,664","1,117"
195,우리 형,2004-10-08,0,"2,479,585", 77
196,반창꼬,2012-12-19,"17,911,274,787","2,475,797",466
197,박수칠 때 떠나라,2005-08-11,0,"2,475,291", 78
198,선생 김봉두,2003-03-28,0,"2,472,135", 60
199,조선명탐정: 흡혈괴마의 비밀,2018-02-08,"19,822,724,764","2,444,123","1,249"
200,화차,2012-03-08,"18,459,203,000","2,436,400",548
201,이웃사람,2012-08-22,"18,087,442,369","2,434,099",600
202,광식이 동생 광태,2005-11-23,0,"2,430,200", 83
203,재심,2017-02-15,"19,264,792,637","2,421,011",935
204,히트맨,2020-01-22,"20,614,278,000","2,406,232","1,122"
205,사바하,2019-02-20,"20,007,508,194","2,398,519","1,174"
206,화이: 괴물을 삼킨 아이,2013-10-09,"17,695,516,795","2,394,466",817
207,의뢰인,2011-09-29,"17,797,042,500","2,393,086",522
208,가문의 영광4 - 가문의 수난,2011-09-07,"17,792,219,500","2,368,267",537
209,블라인드,2011-08-10,"18,387,176,500","2,367,272",404
210,박열,2017-06-28,"18,093,543,795","2,359,174","1,176"
211,맨발의 기봉이,2006-04-26,0,"2,347,311", 71
212,바람의 파이터,2004-08-12,0,"2,346,446", 41
213,작업의 정석,2005-12-21,0,"2,342,232", 75
214,첫사랑 사수 궐기 대회,2003-06-27,0,"2,339,410", 70
215,미인도,2008-11-13,"15,531,621,371","2,325,715",463
216,라스트 갓파더,2010-12-29,"16,832,542,997","2,316,099",547
217,주유소 습격사건,1999-10-02,0,"2,310,000",0
218,하녀,2010-05-13,"17,310,669,976","2,304,487",577
219,"달콤, 살벌한 연인",2006-04-06,0,"2,286,745", 60
220,혈의 누,2005-05-04,0,"2,274,995", 98
221,극락도 살인사건,2007-04-12,0,"2,259,511", 85
222,위대한 유산,2003-10-24,0,"2,251,491", 57
223,7광구,2011-08-04,"19,391,653,500","2,242,510",812
224,박쥐,2009-04-30,"15,051,788,827","2,237,271",462
225,타짜: 원 아이드 잭,2019-09-11,"19,687,029,214","2,229,239","1,429"
226,싱글즈,2003-07-11,,"2,203,042", 58
227,마당을 나온 암탉,2011-07-28,"14,669,905,500","2,201,722",345
228,내 여자친구를 소개합니다,2004-06-03,0,"2,199,359", 75
229,댄서의 순정,2005-04-28,0,"2,197,555", 68
230,싱크홀,2021-08-11,"21,395,652,690","2,195,683","1,603"
231,악의 연대기,2015-05-14,"17,361,815,332","2,192,525",776
232,강남 1970,2015-01-21,"17,717,971,499","2,192,172",841
233,바르게 살자,2007-10-18,0,"2,190,250", 79
234,늑대의 유혹,2004-07-22,0,"2,189,453", 40
235,황해,2010-12-22,"16,765,970,362","2,167,426",618
236,초능력자,2010-11-10,"15,618,440,958","2,164,805",622
237,내 사랑 내 곁에,2009-09-24,"15,764,312,409","2,160,265",474
238,신의 한 수: 귀수편,2019-11-07,"18,463,776,050","2,157,437","1,246"
239,마이 웨이,2011-12-21,"15,994,803,000","2,142,622",645
