순위,영화명,개봉일,매출액,관객수,스크린수
102,그래비티,2013-10-17,31484135600,3227452,636
103,우주전쟁,2005-07-07,0,3223000, 123
104,캐리비안의 해적: 낯선 조류,2011-05-19,27279967500,3130046,960
105,나우 유 씨 미 2,2016-07-13,25116690113,3100113,1200
106,이터널스,2021-11-03,31730757450,3050415,2648
107,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,24975495122,3049894,1357
108,토르: 다크 월드,2013-10-30,22525808500,3039889,733
109,인크레더블 2,2018-07-18,24554683588,3033052,1605
110,하울의 움직이는 성,2004-12-23,0,3015165, 65
111,투모로우,2004-06-03,0,3006400, 67
112,레드: 더 레전드,2013-07-18,21511358970,3004647,739
113,해리 포터와 혼혈 왕자,2009-07-15,20580402431,3002669,751
114,드래곤 길들이기 2,2014-07-23,23979935189,3000056,829
115,황금 나침반,2007-12-18,,2979838, 110
116,블랙 위도우,2021-07-07,29993657620,2961902,2528
117,서치,2018-08-29,25283364845,2949944,816
118,엑스맨: 아포칼립스,2016-05-25,24467887950,2938818,1262
119,300,2007-03-14,0,2929400, 102
120,솔트,2010-07-29,21719123025,2921331,556
121,원티드,2008-06-26,19258777000,2867594,446
122,슈렉3,2007-06-06,0,2844159, 120
123,앤트맨,2015-09-03,23528441937,2841699,949
124,쥬라기 월드: 도미니언,2022-06-01,29237126310,2837415,2218
125,호빗: 다섯 군대 전투,2014-12-17,24268487685,2836774,926
126,호빗: 뜻밖의 여정,2012-12-13,23436820716,2818993,1028
127,메이즈 러너,2014-09-18,21489367677,2812427,648
128,해리 포터와 죽음의 성물1,2010-12-15,19906900266,2809053,718
129,빅 히어로,2015-01-21,21993119765,2801949,825
130,덩케르크,2017-07-20,24576771848,2792705,1252
131,혹성탈출: 진화의 시작,2011-08-17,20629757000,2773794,514
132,메이즈 러너: 스코치 트라이얼,2015-09-16,21596946349,2744413,804
133,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,23452686686,2735721,1218
134,핸콕,2008-07-02,17854932333,2723518,602
135,나우 유 씨 미 : 마술사기단,2013-08-22,19146691869,2718227,691
136,미스 페레그린과 이상한 아이들의 집,2016-09-28,21841214586,2718158,904
137,토르: 러브 앤 썬더,2022-07-06,29505092221,2716307,2143
138,적벽대전 2 : 최후의 결전,2009-01-22,17910684413,2713031,426
139,지.아이.조 : 전쟁의 서막,2009-08-06,19889126096,2706748,446
140,타이탄,2010-04-01,22143097429,2685508,694
141,브레이킹 던 part2,2012-11-15,18909583065,2654817,665
142,미니언즈,2015-07-29,18997911278,2625572,792
143,트랜스포머: 최후의 기사,2017-06-21,21501959228,2614601,1739
144,제이슨 본,2016-07-27,21253434663,2611966,827
145,드래곤 길들이기,2010-05-20,27471926367,2603857,562
146,도리를 찾아서,2016-07-06,20703899933,2601734,1091
147,퍼시픽 림,2013-07-11,20477392512,2539114,1005
148,정글북,2016-06-09,21517513134,2537419,924
149,엑스맨: 퍼스트 클래스,2011-06-02,19075363000,2533852,587
150,해리포터와 아즈카반의 죄수,2004-07-16,0,2532000, 91
151,패션 오브 크라이스트,2004-04-02,0,2523700, 56
152,마이펫의 이중생활,2016-08-03,19405636655,2520510,726
